Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LINCOLN Aviator PHEV,3,6,SemiAuto-10,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,LFMXT03.03P1,standard SUV,7,22/54,25/58,23/56,9,Yes,209
LINCOLN Aviator PHEV,3,6,SemiAuto-10,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,LFMXT03.03P1,standard SUV,7,22/54,25/58,23/56,9,Yes,209
LINCOLN Continental,2.7,6,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV02.7VLM,large car,5,18,27,21,4,No,424
LINCOLN Continental,2.7,6,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV02.7VLM,large car,5,18,27,21,4,No,424
LINCOLN Continental,2.7,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV02.7VLM,large car,5,17,25,20,4,No,452
LINCOLN Continental,2.7,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV02.7VLM,large car,5,17,25,20,4,No,452
LINCOLN Continental,3,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV03.0VLG,large car,5,16,24,19,3,No,466
LINCOLN Continental,3,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV03.0VLG,large car,5,16,24,19,3,No,466
LINCOLN Continental,3.7,6,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LFMXV03.7VLT,large car,3,17,26,20,4,No,440
LINCOLN Continental,3.7,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LFMXV03.7VLT,large car,3,17,26,20,4,No,440
LINCOLN Continental,3.7,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LFMXV03.7VLT,large car,3,16,24,19,3,No,462
LINCOLN Continental,3.7,6,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LFMXV03.7VLT,large car,3,16,24,19,3,No,462
LINCOLN Continental Coach,3,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV03.0VLG,large car,5,16,24,19,3,No,478
LINCOLN Continental Coach,3,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV03.0VLG,large car,5,16,24,19,3,No,478
LINCOLN Corsair,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXT02.02Y1,small SUV,5,22,29,25,5,No,361
LINCOLN Corsair,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXT02.02Y1,small SUV,5,22,29,25,5,No,361
LINCOLN Corsair,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXT02.02Y1,small SUV,5,21,29,24,5,No,369
LINCOLN Corsair,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXT02.02Y1,small SUV,5,21,29,24,5,No,369
LINCOLN Corsair,2.3,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXT02.32Z1,small SUV,5,21,28,24,5,No,372
LINCOLN Corsair,2.3,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXT02.32Z1,small SUV,5,21,28,24,5,No,372
LINCOLN MKZ,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV02.0VEN,midsize car,5,20,31,24,5,No,373
LINCOLN MKZ,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV02.0VEN,midsize car,5,20,31,24,5,No,373
LINCOLN MKZ,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV02.0VEN,midsize car,5,20,29,23,5,No,384
LINCOLN MKZ,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LFMXV02.0VEN,midsize car,5,20,29,23,5,No,384
LINCOLN MKZ,3,6,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LFMXV03.0VLG,midsize car,5,18,27,21,4,No,425
